Ambient_police_drone, 31.16676, 62.3, 61.1
Birds_spin, 282.853, 55.26436, -388.4431
CamControl(5), -113.7653, 0.5099962, -194.737
Cube(Clone), -211.9545, 69.0528, -196
Cube(Clone), -211.9964, 65.0528, -168.9328
Cube(Clone), -211.9964, 73.0528, -164.6065
Cube(Clone), -24, 24, 2222
Cube(Clone), -24, 24, 2222
Cube(Clone), -24, 24, 2222
FireField(1), 0, -350, 500
FreeCamera, 0, 2, -14
Glowing_orb(2), 0, 0, -128
Goal1Sound_trigger, -114.2437, 0.1834352, -200.715
Goal2Sound_trigger, -114.227, 0.1834351, -202.7583
Lift1, 30, 0.3, 48
Light1, 0, 5, 64
Light2, 0, 3, 65
Light3, 0, 8, 66
MainCamera, -92.17739, 1.779383, -197.9587
Moonlight(1), 960, -720, -960
Rain_calm(1), 44.52928, 0, -101.5535
Sphere(1a), 256, 222, 112
Sphere(2), 0, 0, -128
Sphere(2), 0, 0, -128
Sphere(Clone), -173.4845, -12.51025, -1083.523
Sphere(Clone), -173.5884, -12.5094, -1083.53
Sphere(Clone), 31.5492, 1.91752, 50.96293
Sphere(Clone), 31.64398, 1.552462, 50.9751
Sphere(Clone), 31.65295, 1.918371, 50.9701
Sphere(Clone), 390.3989, -12.5094, -321.0188
Sphere(Clone), 390.406, -12.51025, -321.1226
Sphere(Clone), 390.406, -12.51025, -321.1226
Sphere(Clone), 425.9483, -12.51025, -948.0484
Sphere(Clone), 426.0522, -12.5094, -948.0413
Sphere(Clone), 96.22312, -12.51025, 54.51711
Sphere(Clone), 96.32687, -12.5094, 54.52428
Sphere_Glowing(1), 256, 222, 112
Video(1), 70.3, 12.92, -222
Videochat1, 64, 0.1525, -256
Videochat2, 72, 0.1525041, -196
View1, -114.7827, 7.2, -200
View2, -114.7827, 7.2, -190.6647
VoiceChat1, -12, 0.1256, -212
Voicechat2, 0, 0.1256, -256
Voicechat3, 35, 0.1256, -245
Voicechat4, -81.96969, 0.1300001, -96.45766
Voicechat5, 35, 0.1256, -195
Wind_heavy(1), 96, 0, -236
bademeister, -177.2616, 0, -929.0057
bademeister, 100, 0, -100
bademeister, 429.7253, 0, -1102.565
bademeister, 544.9231, 0, -317.3457
bademeister, 544.9231, 0, -345.3457
bademeister, 564.9233, 0, -345.3457
bademeister, 567.9233, 0, -345.3457
ball1, 66.92123, 720, -253.5518
ballRoll_trigger, -114.0962, 0.433199, -203.8921
ballSound_trigger, -114.4278, 0.1834352, -203.4245
ball_orb(1), -100, 0, -200
ball_trigger, -100, 1, -200
ball_trigger_jump_pos, -100, 1, -200
btn1, 64.4469, 0.6, -202.1566
btnLift, 29.5, 1.3474, 51.03551
btn_Sphere(1a), 239.9451, 0.5049953, 71.84107
btn_back(1), 50.02, 1.5, -228
btn_info(1), 50, 2, -204.4461
btn_next(1), 50.02, 1.5, -231
btn_play(1), 50.02, 1.5, -229.5
button2, 222, 0.04160597, -256
button2, 222, 0.04160597, -256
cCube(poker), -100.2387, 0.9134865, -256.8012
cCube2, 49.89999, 0.3995125, -204.4696
cCubeRocket, 41.52959, 0.5100012, -255.5766
click_sheriff, 40.63432, 0.7955901, -213.2706
collider_cube, -10, 0.5, 0
commandCube1, -180, 333.4276, -600
dronecam, 16.72394, 13, -131.557
fusion, 220, 0, -720
fusion_orb, 220, 0, -720
getReferee, -114.1949, 0.1834351, -201.8085
ground, 0, 0, 0
ground2, -14.62645, 0.005000477, -202.6247
ground_stage, 12.47404, 0.4702829, -292.1195
house(1), 32, 30.9, 72
house(1)win(1), 25, 42, 50.95
house(1)win(2), 30, 42, 50.95
house(1)win(3), 38, 42, 50.95
house(10), -320, 24, 256
house(11), -420, 24, 320
house(12), -480, 24, 420
house(13), 740, 40, -68
house(13)win(1), 729.5248, 41.42168, -77.3241
house(13)win(10), 729.5248, 61.4217, -54.3241
house(13)win(11), 729.5248, 66.26244, -67.57081
house(13)win(12), 729.5248, 66.26244, -62.57082
house(13)win(13), 729.5248, 70.42169, -73.32411
house(13)win(14), 729.5248, 70.42169, -67.3241
house(13)win(15), 729.5248, 70.42169, -62.32412
house(13)win(16), 729.5248, 70.42169, -54.3241
house(13)win(17), 729.5248, 74.42169, -67.3241
house(13)win(18), 729.5248, 74.42169, -62.32412
house(13)win(2), 729.5248, 41.42168, -70.3241
house(13)win(3), 729.5248, 46.42168, -67.3241
house(13)win(5), 729.5248, 50.42168, -62.32412
house(13)win(6), 729.5248, 56.42169, -67.3241
house(13)win(7), 729.5248, 61.42169, -77.3241
house(13)win(8), 729.5248, 61.42169, -70.3241
house(13)win(9), 729.5248, 61.4217, -59.32412
house(14), 666, 21, -99
house(15), 222, 42, -120
house(15)win(1), 236.6927, 80.12602, -109.2093
house(15)win(10), 213.6927, 60.12601, -109.2093
house(15)win(11), 226.9393, 55.28526, -109.2093
house(15)win(12), 221.9394, 55.28526, -109.2093
house(15)win(13), 232.6927, 51.12601, -109.2093
house(15)win(14), 226.6927, 51.12601, -109.2093
house(15)win(15), 221.6927, 51.12601, -109.2093
house(15)win(16), 213.6927, 51.12601, -109.2093
house(15)win(2), 229.6927, 80.12602, -109.2093
house(15)win(3), 226.6927, 75.12602, -109.2093
house(15)win(4), 236.6927, 71.12602, -109.2093
house(15)win(5), 221.6927, 71.12602, -109.2093
house(15)win(6), 226.6927, 65.12602, -109.2093
house(15)win(7), 236.6927, 60.12601, -109.2093
house(15)win(8), 229.6927, 60.12601, -109.2093
house(15)win(9), 218.6927, 60.12601, -109.2093
house(16), 100, 21, -222
house(17), 222, 21, -222
house(18), 320, 21, -222
house(19), 450, 20, -250
house(2), 101, 20, 84
house(2)_2click, 112, 0.5, 52
house(2)win(1), 90, 36, 54
house(2)win(10), 98, 24, 54
house(2)win(11), 105, 24, 54
house(2)win(12), 110, 24, 53.89788
house(2)win(2), 95, 36, 54
house(2)win(3), 103, 36, 54
house(2)win(4), 98, 32, 54
house(2)win(5), 103, 32, 54
house(2)win(6), 110, 32, 54
house(2)win(7), 90, 28, 54
house(2)win(8), 98, 28, 54
house(2)win(9), 103, 28, 54
house(20), 500, 20, -250
house(20), 698, 20, 92.49434
house(21), 550, 20, -250
house(22), 666, 21, -222
house(23), 666, 21, -333
house(24), 565, 42, -196
house(24)win(1), 554.1992, 79.49783, -182.427
house(24)win(10), 554.1992, 59.49783, -205.427
house(24)win(11), 554.1992, 54.65708, -192.1803
house(24)win(12), 554.1992, 54.65708, -197.1803
house(24)win(13), 554.1992, 50.49783, -186.427
house(24)win(14), 554.1992, 50.49783, -192.427
house(24)win(15), 554.1992, 50.49783, -197.427
house(24)win(16), 554.1992, 50.49783, -205.427
house(24)win(17), 554.1992, 46.49783, -192.427
house(24)win(18), 554.1992, 46.49783, -197.427
house(24)win(2), 554.1992, 79.49783, -189.427
house(24)win(3), 554.1992, 74.49783, -192.427
house(24)win(4), 554.1992, 70.49783, -182.427
house(24)win(4), 729.5248, 50.42168, -77.3241
